,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,1549068659,-23.12,-134.97,81.47,99,48,8.1
1,Ushuaia,AR,1549066500,-54.81,-68.31,50.0,53,90,25.28
2,Yumen,CN,1549068659,40.29,97.04,12.12,77,36,14.14
3,Busselton,AU,1549068659,-33.64,115.35,65.54,100,32,16.26
4,Tommot,RU,1549068660,58.97,126.27,-36.93,68,32,2.51
5,Albany,US,1549066620,42.65,-73.75,12.92,48,1,3.36
6,Tautira,PF,1549067400,-17.73,-149.15,86.0,70,75,18.34
7,Geraldton,CA,1549065600,49.72,-86.95,6.8,77,90,11.41
8,Saskylakh,RU,1549068661,71.97,114.09,-30.41,51,24,9.78
9,Jamestown,AU,1549068390,-33.21,138.6,78.5,36,0,5.64
10,Mar del Plata,AR,1549068662,-46.43,-67.52,69.23,43,20,13.47
11,Prainha,BR,1549068662,-1.8,-53.48,80.88,80,20,4.74
12,Hobart,AU,1549067400,-42.88,147.33,71.6,40,20,8.05
13,San Miguel,AR,1549065600,-34.54,-58.72,82.4,83,0,4.7
14,Barcelos,PT,1549065600,41.53,-8.62,48.2,87,40,13.87
15,Upernavik,GL,1549068665,72.79,-56.15,0.15,100,0,15.03
16,Alice Springs,AU,1549065600,-23.7,133.88,84.2,42,0,17.22
17,East London,ZA,1549068665,-33.02,27.91,71.93,100,88,15.26
18,Shangrao,CN,1549068666,28.45,117.97,36.83,82,0,2.62
19,Victoria,BN,1549067400,5.28,115.24,82.4,88,75,4.7
20,Thompson,CA,1549065600,55.74,-97.86,-16.61,68,40,6.93
21,Arcata,US,1549067700,40.87,-124.08,51.98,100,75,12.75
22,Ramnagar,IN,1549068667,27.17,84.33,47.54,87,0,2.73
23,Baykit,RU,1549068668,61.68,96.39,-36.3,67,32,2.73
24,Port Alfred,ZA,1549068668,-33.59,26.89,71.12,87,92,16.26
25,Wendo,ET,1549068669,6.6,38.42,49.47,44,8,3.18
26,Bethel,US,1549067520,60.79,-161.76,23.0,92,90,10.29
27,Norman Wells,CA,1549065600,65.28,-126.83,-18.41,75,20,5.82
28,Jales,BR,1549068670,-20.27,-50.55,79.8,69,24,4.74
29,Qaanaaq,GL,1549068670,77.48,-69.36,-15.56,90,0,10.22
30,Brigantine,US,1549066200,39.41,-74.36,21.02,80,90,5.82
31,Shahreza,IR,1549068671,32.01,51.87,14.55,63,8,3.4
32,Kaitangata,NZ,1549068671,-46.28,169.85,59.87,60,20,17.94
33,Kapaa,US,1549065900,22.08,-159.32,77.0,73,75,17.22
34,Laguna,MX,1549064700,27.52,-110.01,69.8,68,75,3.36
35,Pombas,BR,1549068672,-15.9,-54.74,81.65,72,36,3.18
36,Cape Town,ZA,1549065600,-33.93,18.42,71.6,68,0,9.17
37,Yershichi,RU,1549068672,53.67,32.75,31.88,98,92,8.99
38,Mazagao,BR,1549068673,-0.12,-51.29,77.78,97,76,9.55
39,Punta Arenas,CL,1549065600,-53.16,-70.91,51.8,57,75,6.93
40,Avarua,CK,1549065600,-21.21,-159.78,86.0,74,20,4.7
41,Mataura,NZ,1549068674,-46.19,168.86,60.18,58,48,15.82
42,Lebu,ET,1549065600,8.96,38.73,51.8,29,12,4.7
43,Hermanus,ZA,1549068674,-34.42,19.24,63.78,88,0,6.98
44,Husavik,CA,1549068674,50.56,-96.99,2.58,84,92,13.35
45,Saint-Philippe,CA,1549067700,45.36,-73.48,10.4,49,1,11.45
46,Nikolskoye,RU,1549067400,59.7,30.79,24.8,92,90,8.95
47,Mae Hong Son,MM,1549065600,19.3,97.96,62.6,100,90,1.39
48,Sing Buri,TH,1549068676,14.89,100.4,69.45,65,0,5.41
49,Coracora,PE,1549068676,-15.02,-73.78,45.11,89,56,2.51
50,Praia da Vitoria,PT,1549065600,38.73,-27.07,59.0,82,20,12.8
51,Puerto Ayora,EC,1549065600,-0.74,-90.35,82.4,74,40,12.75
52,Grand-Santi,GF,1549068677,4.27,-54.38,74.58,90,44,3.74
53,Pallasovka,RU,1549068677,50.04,46.89,13.65,88,88,5.64
54,Honiara,SB,1549068677,-9.43,159.96,81.15,88,24,2.39
55,Yellowknife,CA,1549065600,62.45,-114.38,-27.41,67,20,6.93
56,Bluff,AU,1549068679,-23.58,149.07,79.85,61,88,17.38
57,Yermakovskoye,RU,1549068679,53.28,92.4,-21.32,61,20,3.06
58,Larsnes,NO,1549066800,62.2,5.58,35.6,51,36,2.24
59,Lorengau,PG,1549068680,-2.02,147.27,80.75,100,68,12.01
60,Mihaileni,RO,1549065600,47.97,26.15,32.0,100,0,2.24
61,Kavaratti,IN,1549068680,10.57,72.64,82.82,100,0,8.55
62,Praia,BR,1549065600,-20.25,-43.81,78.8,50,0,5.82
63,Pangoa,PE,1549068681,-12.12,-73.0,67.07,100,76,1.61
64,Cabo San Lucas,MX,1549064760,22.89,-109.91,75.2,64,40,6.93
65,Khatanga,RU,1549068682,71.98,102.47,-23.3,71,64,10.78
66,Santa Rosalia,IT,1549066800,38.07,13.27,64.4,42,0,21.92
67,Westport,IE,1549068683,53.8,-9.52,35.3,100,80,9.44
68,Arraial do Cabo,BR,1549068683,-22.97,-42.02,79.13,82,0,18.95
69,Barrow,AR,1549068684,-38.31,-60.23,63.87,61,0,7.09
70,Rocha,UY,1549068546,-34.48,-54.34,70.49,97,80,5.08
71,Fortuna,ES,1549065600,38.18,-1.13,53.6,49,0,18.34
72,Brae,GB,1549066800,60.4,-1.35,35.6,93,88,10.29
73,Tuktoyaktuk,CA,1549065600,69.44,-133.03,-29.21,73,75,6.93
74,Dalby,AU,1549065600,-27.18,151.26,75.2,64,75,17.22
75,Vaini,IN,1549065600,15.34,74.49,64.4,77,56,2.51
76,Tiksi,RU,1549068687,71.64,128.87,-39.41,0,24,3.29
77,Mecca,SA,1549068656,21.43,39.83,63.74,75,48,3.62
78,Peniche,PT,1549065600,39.36,-9.38,51.8,76,75,18.34
79,Ponta do Sol,BR,1549068688,-20.63,-46.0,77.15,69,64,2.39
80,Danshui,CN,1549065600,22.81,114.46,62.6,67,75,6.71
81,Lata,IN,1549068688,30.78,78.62,24.95,80,0,2.39
82,Bonavista,CA,1549068689,48.65,-53.11,18.87,100,48,20.51
83,Zhigansk,RU,1549068689,66.77,123.37,-45.75,0,12,3.62
84,Ainazi,LV,1549068689,57.86,24.36,32.42,97,88,9.22
85,Butaritari,KI,1549068690,3.07,172.79,83.99,100,80,16.49
86,Arlit,NE,1549068690,18.74,7.39,52.17,43,0,2.84
87,Ahipara,NZ,1549068690,-35.17,173.16,73.23,74,0,13.02
88,Nyrob,RU,1549068691,60.74,56.73,2.22,77,80,8.21
89,Port Said,EG,1549068691,25.34,30.55,44.3,59,36,2.84
90,Cockburn Town,TC,1549068691,21.46,-71.14,77.15,100,0,16.82
91,Tabuk,PH,1549068692,17.41,121.44,60.77,91,64,1.61
92,Airai,TL,1549068692,-8.93,125.41,74.81,85,44,1.61
93,Abaete,BR,1549068692,-19.16,-45.45,82.23,46,76,5.19
94,Cherskiy,RU,1549068693,68.75,161.3,-28.02,44,32,1.28
95,Zykovo,RU,1549068693,55.24,40.35,19.68,94,88,6.42
96,Port Elizabeth,US,1549065780,39.31,-74.98,21.02,80,90,5.82
97,Ilulissat,GL,1549065000,69.22,-51.1,24.8,53,24,19.46
98,Sao Joao da Barra,BR,1549068694,-21.64,-41.05,82.01,96,0,23.76
99,Luzhou,CN,1549068694,28.89,105.45,43.98,99,92,3.18
100,Nanortalik,GL,1549068695,60.14,-45.24,26.52,98,68,16.71
101,Atuona,PF,1549068695,-9.8,-139.03,81.15,100,92,22.08
102,Esperance,TT,1549065600,10.24,-61.45,77.0,69,20,8.05
103,Maryville,US,1549067700,40.35,-94.87,39.02,90,1,10.29
104,Muriti,TZ,1549065600,-1.99,32.93,73.4,83,75,9.17
105,Mason City,US,1549067700,43.15,-93.2,15.8,85,1,13.87
106,Bon Accord,CA,1549068300,53.84,-113.41,-0.41,76,90,11.41
107,Amambai,BR,1549068697,-23.11,-55.23,82.23,78,12,2.95
108,Carballo,ES,1549065600,43.21,-8.69,46.4,61,40,14.99
109,Pisco,PE,1549065600,-13.71,-76.2,77.0,83,75,9.17
110,La Ronge,CA,1549065600,55.1,-105.3,-13.01,62,75,4.7
111,Constitucion,MX,1549065240,23.99,-104.67,68.0,12,90,18.34
112,Shellbrook,CA,1549065600,53.22,-106.39,-4.01,64,90,8.05
113,Nanakuli,US,1549066260,21.39,-158.15,80.06,78,90,5.82
114,Bredasdorp,ZA,1549065600,-34.53,20.04,69.8,77,92,13.87
115,Severo-Kurilsk,RU,1549068701,50.68,156.12,30.8,100,32,5.64
116,New Norfolk,AU,1549067400,-42.78,147.06,71.6,40,20,8.05
117,Kudahuvadhoo,MV,1549068701,2.67,72.89,81.29,100,80,11.45
118,Chokurdakh,RU,1549068702,70.62,147.9,-27.89,45,56,8.77
119,Biak,ID,1549068702,-0.91,122.88,79.35,96,88,0.83
120,Angol,CL,1549068702,-37.8,-72.71,73.05,44,0,6.76
121,Coquimbo,CL,1549065600,-29.95,-71.34,64.4,88,20,10.29
122,Louga,SN,1549065600,15.62,-16.22,66.2,77,0,6.93
123,Karratha,AU,1549068704,-20.74,116.85,83.81,61,0,8.21
124,Marawi,PH,1549068704,8.0,124.29,67.07,96,24,2.95
125,Bridlington,GB,1549066800,54.08,-0.19,33.8,86,88,10.29
126,Leningradskiy,RU,1549068705,69.38,178.42,-10.34,89,32,6.31
127,Nemuro,JP,1549065600,43.32,145.57,19.4,44,20,13.87
128,Maniitsoq,GL,1549068706,65.42,-52.9,25.4,85,80,18.16
129,Alofi,NU,1549065600,-19.06,-169.92,84.2,70,75,12.75
130,Bonthe,SL,1549068707,7.53,-12.5,76.97,89,0,4.52
131,Kirkuk,IQ,1549068707,35.47,44.4,44.39,81,92,2.39
132,Saint-Francois,FR,1549065600,46.42,3.91,32.0,93,90,3.4
133,Simpang,MY,1549065600,4.82,100.71,75.2,94,75,1.12
134,North Bend,US,1549065780,43.41,-124.22,51.8,93,90,6.93
135,Provideniya,RU,1549068709,64.42,-173.23,14.96,100,56,32.26
136,Plover,US,1549067700,44.46,-89.54,12.02,75,75,3.36
137,Lahat,ID,1549068709,-3.78,103.55,72.56,98,92,4.41
138,Port Blair,IN,1549068710,11.67,92.75,82.01,100,32,12.35
139,Hilo,US,1549065180,19.71,-155.08,78.98,64,20,8.05
140,Narsaq,GL,1549065000,60.91,-46.05,23.0,79,76,8.05
141,Isangel,VU,1549068711,-19.55,169.27,77.37,100,64,13.8
142,Gemena,CD,1549068711,3.25,19.78,72.6,88,20,2.28
143,Maceio,BR,1549065600,-9.67,-35.74,77.0,88,40,2.24
144,Atar,MR,1549068712,20.52,-13.05,57.35,46,20,7.76
145,Cotacachi,EC,1549065600,0.3,-78.27,60.8,77,75,6.93
146,Marystown,CA,1549068713,47.17,-55.16,23.15,100,68,26.33
147,Georgetown,GY,1549065600,6.8,-58.16,78.8,78,75,9.17
148,Belaya Gora,RU,1549068714,68.54,146.19,-38.24,79,56,2.95
149,Pochutla,MX,1549064400,15.74,-96.47,84.2,62,5,6.98
150,Port Hardy,CA,1549065600,50.7,-127.42,44.6,93,75,3.36
151,Mangochi,MW,1549068716,-14.48,35.26,68.33,100,92,2.95
152,Ukiah,US,1549065360,39.15,-123.21,51.98,82,90,8.05
153,Wagar,US,1549068716,31.44,-87.99,53.12,74,92,4.97
154,Yenagoa,NG,1549068515,4.92,6.26,76.02,92,0,6.42
155,Rawson,AR,1549068717,-43.3,-65.11,67.97,38,0,16.26
156,Sorland,NO,1549068717,67.67,12.69,35.3,100,8,7.76
157,Dunedin,NZ,1549068717,-45.87,170.5,63.42,49,0,8.88
158,Jacarezinho,BR,1549068718,-23.16,-49.97,81.87,47,20,5.19
159,Ola,RU,1549068718,59.58,151.3,9.47,100,48,28.57
160,Cap-Haitien,HT,1549068719,19.76,-72.2,78.27,88,0,15.82
161,Clovis,US,1549067400,36.83,-119.7,62.06,72,20,5.82
162,Lagoa,PT,1549065600,37.14,-8.45,48.2,87,20,10.29
163,Hargeysa,SO,1549068660,9.56,44.06,44.97,73,8,2.62
164,Kamenka,RU,1549068720,53.19,44.05,13.47,87,88,6.53
165,Faya,SA,1549065600,18.39,42.45,57.2,44,0,4.7
166,Cardston,CA,1549065600,49.2,-113.32,17.6,92,90,13.87
167,Novomykolayivka,UA,1549068721,48.54,32.26,23.87,78,24,2.84
168,Ostrovnoy,RU,1549068722,68.05,39.51,8.21,88,76,10.45
169,Mount Gambier,AU,1549065600,-37.83,140.78,75.2,33,0,4.7
170,Aykhal,RU,1549068722,65.95,111.51,-39.05,78,44,5.64
171,Sitka,US,1549068722,37.17,-99.65,47.9,75,0,8.1
172,Road Town,VG,1549065600,18.42,-64.62,77.0,69,20,5.82
173,Viedma,AR,1549068538,-40.81,-62.99,62.84,49,0,5.41
174,Vanderhoof,CA,1549068721,54.02,-124.02,10.77,70,92,6.2
175,Tazovskiy,RU,1549068724,67.47,78.7,-28.34,46,20,10.11
176,Wanaka,NZ,1549068724,-44.7,169.14,61.94,29,0,2.84
177,Bilma,NE,1549068724,18.69,12.92,51.9,55,0,3.06
178,Nome,US,1549066500,30.04,-94.42,64.22,77,1,5.82
179,Pevek,RU,1549068725,69.7,170.27,-14.03,100,32,6.42
180,Lulea,SE,1549066800,65.58,22.15,-0.41,84,48,3.36
181,Male,UA,1549068725,50.74,33.7,31.92,98,92,8.1
182,Puri,ID,1549067400,-7.54,112.45,80.6,88,20,8.05
183,Malkangiri,IN,1549068726,18.35,81.9,52.31,93,0,2.28
184,Bubaque,GW,1549068726,11.28,-15.83,78.72,94,0,15.03
185,Staryy Nadym,RU,1549068726,65.61,72.68,-51.02,0,0,3.06
186,Kununurra,AU,1549067400,-15.77,128.74,89.6,66,0,5.82
187,Longyearbyen,NO,1549065000,78.22,15.63,26.6,58,20,16.11
188,Pangnirtung,CA,1549068727,66.15,-65.72,1.28,69,88,7.87
189,Saint-Augustin,FR,1549065600,44.83,-0.61,41.0,93,0,3.36
190,Faranah,GN,1549068728,10.04,-10.74,72.65,49,0,5.41
191,Hambantota,LK,1549066200,6.12,81.12,75.2,100,5,4.7
192,Zhuanghe,CN,1549068728,39.7,122.97,31.02,95,8,12.8
193,Lodja,CD,1549068729,-3.52,23.6,73.5,91,76,3.96
194,Talnakh,RU,1549068729,69.49,88.39,-28.16,45,36,7.65
195,Ribeira Grande,PT,1549068729,38.52,-28.7,61.13,100,80,15.7
196,Sundargarh,IN,1549068730,22.12,84.04,49.34,78,0,5.3
197,Grand Gaube,MU,1549068730,-20.01,57.66,79.08,100,76,12.24
198,Kenai,US,1549065360,60.55,-151.26,17.06,87,1,4.97
199,Nelson Bay,AU,1549067400,-32.72,152.14,78.8,78,75,16.11
200,Virginia Beach,US,1549067760,36.85,-75.98,48.02,95,90,12.75
201,Punganuru,IN,1549068731,13.36,78.57,59.82,87,68,3.51
202,Kodinsk,RU,1549068656,58.6,99.18,-29.96,49,24,2.73
203,Dudinka,RU,1549068731,69.41,86.18,-19.34,57,56,16.71
204,San Patricio,PY,1549068732,-26.98,-56.83,85.88,62,24,4.18
205,Ginda,IN,1549067400,30.69,78.49,44.6,93,0,5.82
206,Sari,IR,1549065600,36.57,53.06,42.8,100,90,2.24
207,Pangody,RU,1549068733,65.85,74.49,-43.46,0,56,3.51
208,Broome,GB,1549066800,52.47,1.45,35.6,93,64,4.7
209,Ammon,US,1549065180,43.47,-111.97,30.92,77,1,6.64
210,Russell,AR,1549065600,-33.01,-68.8,86.0,58,40,3.36
211,Antalaha,MG,1549068734,-14.9,50.28,75.3,100,92,12.24
212,Seoul,KR,1549067400,37.57,126.98,33.8,85,90,1.12
213,Entre Rios,BR,1549068735,-11.94,-38.08,80.84,83,80,8.1
214,Dikson,RU,1549068735,73.51,80.55,-14.25,67,0,13.02
215,Lac du Bonnet,CA,1549068735,50.25,-96.06,4.07,78,92,6.2
216,Pangai,TO,1549065600,-19.8,-174.35,84.2,74,20,10.29
217,Namatanai,PG,1549068736,-3.66,152.44,84.75,97,36,6.42
218,Okhotsk,RU,1549068737,59.36,143.24,6.86,100,68,9.44
219,Newport,GB,1549066800,51.59,-3.0,35.6,100,12,10.29
220,Ust-Kuyga,RU,1549068737,70.0,135.55,-57.0,0,8,3.18
221,Kruisfontein,ZA,1549068738,-34.0,24.73,69.05,86,56,17.05
222,Vredendal,ZA,1549068738,-31.68,18.49,57.17,97,20,2.95
223,Hanzhong,CN,1549068738,33.08,107.03,26.21,85,68,0.94
224,Marienburg,DE,1549066800,52.12,9.98,30.2,92,88,3.36
225,Shonguy,RU,1549067400,68.75,33.15,-9.41,76,75,2.28
226,Te Anau,NZ,1549068739,-45.41,167.72,58.34,59,0,4.52
227,Camacha,PT,1549065600,33.08,-16.33,60.8,51,75,12.75
228,Volzhskiy,RU,1549067400,48.78,44.78,14.0,85,90,6.71
229,Tres Arroyos,AR,1549068740,-38.38,-60.28,63.87,61,0,7.09
230,Kodiak,US,1549067700,39.95,-94.76,39.02,90,1,10.29
231,Makubetsu,JP,1549065600,42.84,143.34,21.2,53,75,12.75
232,Pokhara,NP,1549068741,28.21,83.99,34.62,66,0,4.07
233,Camacupa,AO,1549068741,-12.02,17.48,63.33,90,76,4.41
234,Yishui,CN,1549068742,35.78,118.63,26.21,87,8,12.24
235,Kahului,US,1549068060,20.89,-156.47,82.94,73,90,5.82
236,Carnarvon,ZA,1549068742,-30.97,22.13,60.77,88,44,14.47
237,Samarai,PG,1549068742,-10.62,150.67,84.57,100,64,10.11
238,San Quintin,PH,1549068743,17.54,120.52,64.05,73,0,3.4
239,Plettenberg Bay,ZA,1549068743,-34.05,23.37,69.0,91,8,21.18
240,Dabola,GN,1549068744,10.74,-11.11,65.4,71,0,2.28
241,Egvekinot,RU,1549068744,66.32,-179.17,-12.14,73,64,3.18
242,Wewak,PG,1549068745,-3.55,143.63,79.62,92,76,2.06
243,Tasiilaq,GL,1549065000,65.61,-37.64,19.4,52,88,10.29
244,Bandarbeyla,SO,1549068745,9.49,50.81,76.07,100,64,15.48
245,Henties Bay,NA,1549068746,-22.12,14.28,62.25,100,56,5.08
246,Dubbo,AU,1549067400,-32.25,148.6,87.8,45,40,17.22
247,Rabo de Peixe,PT,1549065600,37.8,-25.58,50.0,81,20,2.24
248,Naze,NG,1549068747,5.43,7.07,76.02,85,8,8.43
249,Dromolaxia,CY,1549065600,34.88,33.59,55.4,81,0,6.64
250,Saquarema,BR,1549065600,-22.93,-42.51,87.8,55,0,4.7
251,Klaksvik,FO,1549066800,62.23,-6.59,32.0,100,88,20.8
252,Ovsyanka,RU,1549068749,53.58,126.91,-28.43,44,0,2.17
253,Houston,US,1549066500,29.76,-95.37,66.92,88,90,3.51
254,Hithadhoo,MV,1549068750,-0.6,73.08,82.73,100,76,11.23
255,Ituporanga,BR,1549068750,-27.41,-49.6,68.73,93,76,3.4
256,Legnica,PL,1549067400,51.21,16.17,39.2,80,90,5.82
257,Tres Picos,MX,1549068751,16.23,-93.58,78.86,43,8,2.17
258,Hirata,JP,1549065600,37.21,140.56,35.6,64,20,20.8
259,Katsuura,JP,1549065600,33.93,134.5,41.0,64,20,8.05
260,Tigzirt,DZ,1549068752,36.57,4.2,51.77,69,92,6.76
261,Kayasula,RU,1549068752,44.33,45.0,34.49,97,92,3.74
262,Sangar,RU,1549068752,63.92,127.47,-45.44,0,20,3.51
263,Khandyga,RU,1549068752,62.65,135.58,-42.56,0,36,2.95
264,The Valley,AI,1549065600,18.22,-63.06,77.0,69,20,9.17
265,Ayan,TR,1549068753,40.67,33.6,21.12,80,0,3.06
266,Torbay,CA,1549066860,47.66,-52.73,15.8,85,90,8.05
267,Imbituba,BR,1549065600,-28.24,-48.67,77.0,88,75,6.93
268,Dubai,AE,1549065600,25.27,55.3,66.2,88,0,5.82
269,Acapulco,MX,1549064760,16.86,-99.88,80.6,69,5,8.05
270,Zhangye,CN,1549068754,38.94,100.46,-5.88,58,0,5.75
271,Key West,US,1549067700,47.93,-96.78,15.8,85,1,14.99
272,Skjervoy,NO,1549068755,70.03,20.97,14.6,100,12,14.81
273,Cayenne,GF,1549067400,4.94,-52.33,77.0,83,20,3.36
274,Port-Gentil,GA,1549068756,-0.72,8.78,81.6,97,12,9.55
275,Salym,RU,1549068757,60.06,71.48,-24.92,38,76,6.87
276,Sambava,MG,1549068757,-14.27,50.17,76.97,100,80,16.71
277,Inyonga,TZ,1549068757,-6.72,32.06,62.3,99,56,2.62
